Review,Rank
확실히 마녀 시리즈로 자리 잡을듯ㄷㄷㄷ 후반부 액션은 그냥 대박…. ,10
욕이 많이 나오는데 너무 어색함외국어가 많이 나오는데 너무 어색함센척 폼 잡는 것이 너무 오글댐전체적으로 실망 ,1
마녀1에서 중2병감성좀 줄이면 되겠다고 그렇게 원성이 많았는데 감독이 그거에 빡돌았는지 중2감성을 곱빼기로 쑤셔넣었네요.마녀1에서부터 이어진 내안의 흑염룡 힘숨찐 후까시가 영화 80%를 차지하고있어서 진짜 가만히앉아...,5
마녀2 가 아니라 잡탕2임 ㅋㅋ 뭔 스토리가  3류에다가 이해도 안가는 내용의 연속  마녀1에 비해서 10분의 1도 안됨  절대보지마세용 평점 믿고 갔다가  빡쳐서 나옴  뭔 초능력자들 대잔치네 ㅋㅋㅋㅋ그냥 외계인영...,1
액션이 제대로 미친듯 ㄷㄷ 김다미 임펙트 쩜 ,10
한국에서 이런 시리즈가 나오다니 ㄷㄷ 박훈정표 액션의 신세계 제대로 보여준듯 시원시원한 액션 최고! ,10
"전편에서 스케일만 커졌지 산만한 이야기, 어수선한 액션, 유치한 대사까지 단점만 발전한 기괴한 속편. ",3
3편 너무 기다려짐…!!!! ,10
마지막 30분 액션은 진짜 입을 벌리고 볼 정도ㅎㄷㄷ ,10
3편으로 가기위한 교두보...히어로물이라고 생각하며 보면 편할듯.. ,7
같이 보러가자 한 지인에게 미안해 죽을 뻔 했습니다..이하 설명 끝 ,1
"상황에 맞지도 않는 그노무 욕, 욕 맨날 x발 x발.진짜 몰입 안되고 나만 중국어 영어 이상하게 들리나… 담배도 잘 못피면 피지 말라고, 왜 몰입감 다 떨어 뜨리는건지..너무 난잡해서 뭐가 뭔지 잘 몰르것어요,, 1...",5
위스키와 욕과 담배가 없으면 진행이 안되는 영화.... ,6
신세계 와 마녀1 은 운빨이었나…좀 놀랐다…퀄리티가 너무 떨어진다. ,1
내가 내 마녀 개봉시켜놓으랬지 죽이라곤 안 했을텐데 ,4
"예고편에 '흥미가 진진하네'볼때부터 불안하더니 예감적중.오글오글오글...보는내내 유치해를 남발하며  시간가는줄알고 봤네.연기잘하는 배우들 데려다가 대사며,연출이며 전체적 똥망테크 영화임 ",2
고등학생이 만든거같음ㅋㅋㅋ 지루하고 유치하다 .. ,3
"진짜 이 영화가 신세계와 vip와 마녀를 만들었던 박훈정 감독의 영화란 말입니까? 서스펜스는 느슨하고, 비주얼은 힘만 바짝 주어 이질적이고, 캐스팅은 연줄로 엮은건지 어색한 연기가 너무 눈에 선연하네요.  안타깝습니...",5
긴 러닝타임의 이유를 못 찾겠음 ,6
외국어 좀 적당히 넣으면 안되나 중국어씬은 불필요해보이는데 왜이렇게 긴지.. 액션도 실망스러움 20년전 중국영화 같음 cg도 너무 튀고 정말 영화가 조화롭지가 못함 오프닝씬만 좋았다 ,1
"최악의 각본. 쓸데없이 많은 욕, 쓸데없이 많은 무게잡기, 쓸데없이 많은 저질개그 ",2
앞엔 솔직히 많이 지루했다.. 끝에 10분 다미언니 안나왔으면 짜증났을듯 ,6
재밌어요!!! ,10
긴 말 하지 않는다. 아닌 건 아니다. ,1
우째 이런일이..1편보다 나은 2편은 진짜 나오기 힘들군요..어쩌다 스토리와 연출.. 다 붕 뜬건지.. ,1
핵노잼 스토리가 전혀 없는듯해요중국어도 이상하고 전반적으로 별로였어요 ,1
3편을 위해 제작된 2편 같아요~~~액션좋아요~~ ,10
마녀1 다시보려고요.그걸로 위로받고 싶네요. ,2
역시 김다미 등장하자마자 미쳤다 ,4
개그에 자신이 없으면 아예 안 하는 게 낫다. ,6
보다가 너무 유치해서 헛웃음만 나옴 ,1
