Review,Rank
"다큐멘터리 같은 1부는 그저 단조롭고, “A to Z” 몽타주의 2부는 그리 인상적이지 않으며, 3개의 결말의 3부는 신랄하지도 폭발하지도 않는다. 과도하고 노골적인 장면들은 그저 불쾌할 뿐이다. ",4
(굳이 그럴 필요는 없지만) 무삭제판을 보고 나서 검열판(극장개봉판)을 보면 이중으로 골때린다. 풍자의 의지 하나만은 날카로우나 그 방식이 무디고 케케묵었다. 관종 영화. ,6
"3류 코미디인 척, 온갖 정치 사회적 주제들을 들먹인다. 1부의 참신함에 비해, 지나치게 진부하고 노골적인 3부가 많이 아쉽다. ",7
영화 자체는 흥미로웠으나 자주 가려지는 화면이 큰 스트레스를 줍니다. 무삭제판으로 개봉되었으면 좋았겠다는 아쉬움이 듭니다. ,7
처음부터 농락당한 기분이다. ,5
난해한 주제의식으로 주구장창 말장난뿐 ,4
지구촌뉴스-루마니아편을 마치 TV로 본 느낌이다. 다큐가 아니지만 다큐 같고 거리의 소음만이 내게 남는다. ,7
무조건 무삭제판으로 보세요ㅠㅠ ,4
초반을 아예 잘라내던가 무슨 오류 마냥 편집을 해두니 더 별로...길긴 왜 이리길어 차라리 2부가 더 볼만 했어요. ,5
"저는 무삭제판, 검열판 둘다 봤지만 검열판만 보신 분들은 가려놓은거 기분 나쁘실것 같더라구요 ㅎㅎ ",7
재밌어요 정치 사회 역사를 한번에 엮어서 유쾌하게 풀어내다니 감탄했어요 ,7
무삭제판으로 보기를 잘한듯.  성인이 보는데 영화관에서 모자이크라니. ,6
편집판 진짜 골때리네 ㅋㅋㅋ ,8
부탁이니까 미친척하고 무삭제판으로 바꿔줘요 ㅠㅠ ,6
도전정신에 좋은 점수를 주고 싶다 ,8
독특한 연출과 코로나 시국의 반영이 어우러져 생각할 거리를 던지는 영화입니다. ,7
"각기 다른 느낌의 1,2,3부는 확실히 어려웠다 ",6
상ㄹ당히풍자적인블랙코미디영화이고재미있다 ,7
피해자가 가해자가 되는 ''이상한 나라의 원더우먼''. ,6
형식의 파괴를 꾀한 실험적인 영화 ,8
자신들은 얼마나 깨끗하길래.. ,8
하고싶은말은 좋은데...영화로서의 흥미도는 마이너스... ,5
기대만큼 좋지는 않았다 ,6
루마니아 브이로그?파트2가 가장 인상 깊었음.검열버전은 생각보다 검열 된 장면이 너무 많아서 아쉬움. ,6
최신 이슈에 본인들의 역사를 기발하게 버무린 엉뚱한 상상... ,7
많은 분들이 무삭제보고 욕했을지도 ,3
제 취향은 아닌거 같아요음 아트하우스밧지만 아니었어도... ,6
검열판 진짜 별로임. 그리 할거면 그냥 19금 장면을 편집을 하던지 하지 뭐하자는건지... 영화 자체도 엄청 실험적이라 쉽지가 않다. ,4
자신의 조국을 풍자하는 영화 중 가장 쎘음. 검열이냐 아니냐는 중요하지 않은데 그게 쟁점이 되서 아쉬움. ,7
나 진짜 영화 왠만하면 다 재밌다고 하는데 이거 보고 화나서 욕하면서 집에간다 ,2
코미디로 끝내는 것 같지만 그 과정은 지난하다. 그래도 1부가 제일 좋더라. ,7
무삭제를 봤어야 했다.. ,6
무삭제판을 보고 신선한 충격을 받았던 영화! ! ,7
모자이크가 아쉽지만 날것 그대로의 풍자 ,7
이런 생각을 어떻게 하셨는지 ,5
영화 잘 봤습니다~ㅎㅎ ,6
"어우야 무엇을 말하고자 하는지 잘 모르겠다,,특히 2부가 많이 난해했다. 다양한 결말을 연출한 부분은 참신했다. ",5
루마니아 가고 싶다 ,5
도입부분의 파격적인 섹스장면처럼 실험적이고 독창적인 연출의 작품이었지만 직설적인 풍자와 독설이 재미나 감동대신 불쾌감을 주는 영화입니다. 영화 내용이 이해하기 어렵지는 않습니다. ,4
블랙 코미디의 정수 ,7
이거 완전 인류종말영환데요? ,8
영화제 감독 영화가 정식개봉하자 생긴 일 ,4
cav로 무삭제판으로 봐서 다행이네... ,8
