Review,Rank
평론가들.. 한국영화에 짜게 주는 평점. 그러나 이 영화 상당히 잘 만들었다. 이야기를 담백하게 잘 풀어냈다. ,8
왜 '아이를 위한 아이'인지 깨달은 순간은 이미 도윤은 어른이었을까? 어른들의 이기심으로 아이들은 어른이 되는것일까. ,10
이 영화는 각본에 상을 주고 싶다.  스릴러보다 더 반전의 영화로 많은 생각을 갖게 했다. 진심 잼있게  봤네요 ,10
"저는 진짜 재밌게 봤어요. 밑에 1점 주신 분은 생각이 있으신건지,, 가족이란 무엇인지 깊이 생각해보고 보육원에서 나온 아이들에 대해 생각해보게 되었습니다. 진짜 재밌게 봣어요. 꼭 흥행하길 ",10
문제가 될만한 스토리를 신파를 섞지않고 담담하게 마무리해줘서 더 좋았습니다 ,10
예상외로 너무 재밌게 봤어요. 정웅인 외 대부분 낯선 배우들이었는데 어찌나 현실연기인듯 찰떡인지... 암튼.. 많은 분들께 추천해주고 싶은 영화였어요. 예상을 벗어난 전개와 함께 감정을 오버스럽게 끌어내지 않고 담담...,10
잔잔하면서 배우들의 연기도 좋고 기대 안하고 봤는데 반전도 있고 잘 감상했습니다.. ,10
최근에 본 영화 중에 제일 인상 깊었습니다. ,10
배우들의 연기가 기억에 남습니다. ,10
올바른 선택인지 의문이 든다 ,4
이모. 이모부 하는거 보니 아버지가 현명한사람 ,7
감독은 보호아동에 대한 영화를 찍겠다고 하면서 오히려 그들의 감정을 쉽게 생각한 건 아닌지 묻고 싶네요 ,1
브로커와는 또 다른 관점에서의 가족을 생각하게 하는 영화.좀 더 알려졌으면 하는 영화.무거운 주제를 중간중간 웃음으로 처리한점.도윤이와 재민이의 2년후를 보고싶다. ,8
이런 좋은 영화는 많은 이가 보면 참 좋으련만... ,10
"도윤, 재민, 그리고 아빠 모두 각자의 현실에서 고민거리들이 심금을 크게 울렸다도윤은 고아로서 대학교는 이미 포기했고,먹고사는데 필요한 돈을 어떻게 벌지 호주라는 꿈을 꾸었고그 와중에 증오했던 친부가 나타나 다시 가...",10
"보육원 보호종료 아동인 도윤과 부모없이 남겨진 재민을 통해 가족의 의미를 생각해보게 만드는 영화, 간만에 아주 마음에 들었다 ",10
가족이란 무엇인가를 잘 보여주는 웰메이드 독립영화 ,10
좋습니다  감동적 입니다 ,10
신파적이지않고 질척대지않으며 담백하게 감정선을 표현해서 좋아요 다시한번 우리사회문제를 생각하게 됩니다 ,10
연출의 드라마속에 배우들의 담백한 연기가 스토리텔링을 하구 있어 참 좋았다. ,10
스토리 반전 연기 신선하니 너무 좋았다 ,10
좋았습니다 근래 본 영화와는 차별화된 스토리전개며 연기도 ,9
` ,6
배우들 연기넘나잘하고 스토리도 좋아요 마지막이 좀 살~~짝 섭섭했지만 미련이남는.... ,10
스토리가 참신해서 좋았어요! ,8
이것도 영화라고 만들었나? 왜 평점이 높은 거야? ,1
도윤의 연기력과 후반부에 반전이 킬포인트였어요!기존에 우리가 보던 영화를 재해석한듯 신선했습니다. 배우들의 연기력도 좋았구요. ,10
내용 전환이 깔끔하고 배우님들도 훈훈하고 목소리 좋아요! 대배우가 되실듯 ㅠㅠ ,10
