Review,Rank
다들 영화보고 돌아가는 길에 엘비스 노래를 틀었겠지ㅋㅋ ,10
진짜 연기 너무 잘하더라... 엘비스 노래도 어렴풋이만 알고 있었는데 극장 사운드로 들으니까 몇배로 좋음 재밌게 봤습니다 ,10
워터밤 말고 엘비스밤 다녀온 기분...영화를 보고왔는데 축제를 다녀와버린거에요 휴 대리만족b ,10
엘비스의 삶을 다시 보게됐고진짜 주변에 사람잘 둬야한다는걸 느꼈네요노동착취 800회공연 ㅜ 안타까웠습니다 ,10
초반을 잘 버티면 꽉꽉 채운 엘비스의 세계로 풍덩할수 있습니다 그는 여전히 전설입니다 ,7
아 이거 무조건 영화관으로 ㄱㄱ 해야됨.. 큰화면으로 보니까 콘서트 갔다 온 기분ㅋㅋㅋㅋ 일반관에서 봤는데도 겁나 신나는데 스엑이면 기절할듯 ,10
엘비스 그냥 미국가수로만 생각했던 날 용서해요 엔딩 전율... ,10
간만에 신나서 재밌게 봤다..남주 싱크로율도 엄청 좋았음 ,10
엘비스 프레슬리가 살아돌아온 것 같은 신들린 연기였습니다. 톰행크스의 악마같은 연기도 소름끼쳤습니다. ,9
진한 감동과 여운이 가득한 음악과 인물조명 ,10
개인적으로 보헤미안 렙소디를 뛰어넘는 명작이라 생각합니다. ,10
"2시간 38분은 너무 길지만, 엘비스 프레슬리의 삶은 너무 짧다. ",10
마치 내가 그의 시대에 잠시 갔다온듯한 기분이 들 정도로 몰입감이 대단했습니다. 시종일관 엘비스의 열정적인 퍼포먼스와 안타까운 그의 일대기. 대중에게는 화려한 슈퍼스타였지만.. 감독의 혼신을 다한 독특한 연출덕에 이...,10
성공했으나 너무나도 외로운 사람 ,7
오스틴 버틀러 연기 너무 좋았어요!!! ,10
"엘비스가 왜 대중문화의 아이콘이자 전설인지 보여주는 영화 단순 퍼포먼스, 노래만 잘하는 것이 아니라 사회적 메시지까지 전해주는 그는 정말 전설이다. ",8
마지막엔 그냥 저항없이 눈물이 나더라... 엘비스의 최고로 행복했던 순간과 미치도록 불행했던 순간을 고스란히 담아놓았다 ,9
엘비스의 후기를 기다리는 친구들에게 나는 이렇게 말한다. <보헤미안 랩소디>의 업그레이드 버전 같아. 이미 너덜너덜해진 그의 이야기를 화려한 연출로 덮는다. 모든 삶의 순간순간이 번화했던 엘비스 프레슬리의...,10
오스틴이랑 엘비스 싱크로율이 생각보다 잘 어울려서 신기했음 특별관에서 한 번 더 보고싶음 ,10
"톰행크스 옆에 있어도 연기력 폭발하는 오스틴 버틀러,, 이번에 새롭게 다시봄! ",10
오스틴 버틀러 너무 좋다 기대이상 싱크로율 미쳤음! ,10
영화는 영화관에서 봐야 한다는 걸 또 한번 깨닫습니다. 엘비스 프레슬리 팬이거나 그에게 관심 있는 분이라면 망설이지 말고 예매하시길 ,8
배우가 실제 엘비스를 보는 듯한 연기를 하였다. 거의 3시간 가량의 영화인데 지루할 틈이 없고 연출이 화려하다 ,9
"지루할 틈이 없었다는게 가장 좋았던 것 같고, 오스틴 버틀러 이 배우 연기 잘해서 차기작도 너무 기대됩니다. ",10
노래를 많이 알지 못한다고 생각했지만 이미 일상에 스며들어 있던 엘비스 프레슬리 ,8
토르에 묻힐 영화가 아닙니다. 많은 사람이 보길 바랍니다. ,10
집중해서 보니까 러닝타임 긴데도 시간 되게 잘 가더라 재밌었음 ,10
내가 이렇게 엘비스 노래를 많이 알았다고?! 나도 모르게 계속 흥얼거림ㅋㅋㅋ 극장 나오자마자 플레이리스트 등록! 한동안 엘비스보이스에 빠져 살 듯ㅠㅠ 콘서트 대리만족! ,10
와 내가 아는 그 레전드 톰행크스가 악역? 이건 못참지 ㅋㅋㅋ 진짜 화날정도로 연기 너무 잘해서 보는 내내 감탄함 ,10
"그의 피와 고름을 짜내며, 눈물을 삼키고, 영혼을 팔아 노래했구나. Rest in Peace, EP. 우리는 영원히 당신을 기억할 거예요. ",10
엘비스라는 이름만 알고 엘비스에 관해 아예 모르고 본 영화였지만 너무 재밌었어요 ,9
