,comment
0,배트맨 클래식 브금    
1,모든게 망한 지금 이게 올해 최고 히어로영화일 가능성이 높음          물론 한국에선 오후더빙관밖에 없겠지만
2,   닥스 토르보단 재밌을듯
3,아 말하는거 개웃기네           
4,더 배트맨은 성공한거 아닌가요  
5,    
6,람쥐썬더다
7,다람쥐 저거 람쥐썬더네    
8,    
9,엄청 길게 해주세요
10,드웨인 존슨 목소리 
11,기대하니까 슈퍼맨과 로이스 레인 애니메이션 영화 언제 나오려고 하나요 
12,메가마인드 영웅
13,람쥐썬더   
14,인사이드
15,그저께 공개된 수스쿼 게임 트레일러 올려주세요
16,처음에 개 목소리 듣고 목소리 출연 한 사람 드웨인 존슨 인 줄 알았다
17,다람쥐    위험하넼    
18,아니 무슨 람지썬더가 있어
19,추미애 추하다     많이 모자란다     옛날 술처먹고 술주정한일 생각나니     정말 챙피한 여자     사라져라 
20,람쥐썬더가 여기서 나오네   
21, 다 람쥐번개 
22,워너브라더스가 꼭 컴캐스트를 인수하길 바랍니다 
23,컴캐스트 인수하면 좋은점요 
24,아니람쥐썬더 뭔데   
25,다람쥐썬더   
26,   다람쥐 썬더냐
27,와우 예고편 대박 꿀잼
28,감사합니다  많이 기대해 주세요  
29,그정도 지능이 있으면 산책은 혼자좀 가라
30,미국은 떠돌이 개 무조건 잡아가서 그만     뭐 잡을 수나 있겠냐만은 
31,오 개재밌겠다      
32,감사합니다  많이 기대해 주세요  
33,너무 재밌겠다   나오면 꼭 봐야징
34,아어맨이나온넼   
35,이건또 뭐야    
36,                                                                            람쥐썬더어어어   
37,람쥐썬더      
38,이슈퍼맨의이름은근이라고합니다
39,람쥐썬더          
40,재밌을거같네요 헿
41,기대해 주셔서 감사합니다 
42,마블의 실적부진과 디플의 컨텐츠 부족       의 뉴 페이즈 다지기도 올해는 약간 부진했고  이터널즈 등  디즈니의 중국문화와   뿌리기로 인한 반감을 사고있을때   에서 무슨 수를 써서든 치고나가야됨       지금아니면 결국 다시 마블 페이즈    과   의 부진이 반복될 뿐이라고 봄    개인적으로는 잭스나의 젓딧리그  뉴 수어사이드 스쿼드 굉장히 잘뽑혔고 더 배트맨 등   년에도 빌드업 잘 다져서 마블이랑 비벼주길 바람   그래야 정신차리지  
43,잭 스나이더 쓸거면 스토리는 다른사람 맡겨야됨
44,    년 초에 히어로 하면 배트맨 슈퍼맨 이던 시절에 자만하지말고 변화했었어야함       마블 그당시엔 스파이더맨 말고는 흥행도 못했는데 
45,근데 실패하면   평생 나락가는거아닌가 
46,     
47,게이야   
48,                                                                           그건 스파이더맨이잖어   
49,   아이언맨도 그렇고  
50,더빙판도   슬쩍 기대해봅니다        
51,다른건 다 이겨도 다람쥐는 못이기지
52,람쥐썬더
53,조커가안나오넹    조커대신 렉스루터가 나오네
54,역시 람쥐는 썬더지
55,보니까 우리가 알고있는 기본 슈퍼맨 과는 다른  젊은 킹덤컴 슈퍼맨 이네요 슈퍼맨 가슴의  자 마크가 노란색과 빨간색의 아니라 검은색과 빨간색으로 구별 할수있어서
56,                                                                          
57,슈퍼맨 슈퍼 멍멍이 크립토 이밖에도 아주 옛날에는 슈퍼 고양이 슈퍼 원숭이 슈퍼 말 등이  있습니다 지금은 크립토 빼고는 다 사라졌지만요
58,항상 감사합니다
59,                                          
60,      님 항상 응원해주시는 것 같아 감동이에요 
61,아이언맨 도 못하겠지 뭔뎈     세계관 통합을 기대한다
62, 천지인 유튜버들도 아니구 기업과 기업 사이 정도는 언급해도 돼   너무 조심해    
63,마블에선   가 만화사로 존재하는거고   에서도 마블이 만화사로 존재하는 거죠 뭐
64, 블 에서도 슈퍼맨 배트맨 언급하던데
65,아싸  빠
66,람쥐썬더 
67,설마 진짜 연예인더빙쓴거임   년전 논란을 몰라 
68,정준하 하하 더빙 기대하겠네
69,다 좋은데   하하가 크립토하고  정준하가 에이스하는게 더 잘 어울리는 거 같은데  
70,미주도 참여했다는데 어떻게     녹음했을지 궁금하네  
71,아 또 연예인 더빙   마블은 디즈니가 직접 검수하면서까지 제대로 검증된 성우분들을 캐릭터에 맞게 기용을해서 더빙을 내주는데 디씨라고 개무시하는건지   아무리    그래도 이건 아니죠  너의 이름은 벌써 잊혀졌나      에휴 원어판으로 관람해야겠다   
72,너의 이름은은 진짜 더빙 처음해 본    김소현  지창욱 시켜서 개망작 된 거고           저 둘은 믿을만 해요  정준하는     주먹왕 랄프에서 진짜 잘 살려서      진짜 랄프 배우한테도 극찬받았고      하하는 본인 목소리 그대로 하는데 그게 의외로 애들한테 강점으로 많이 먹혀서      더빙   개는 넘게함  
73,정준하 주먹왕랄프하고 더빙안했는데  오랜만에하네
74,연예인 더빙말고 걍 성우좀쓰면안되나    정준하 잘하는거아는데 그냥성우썻으면 더 잘했을거같음 이번배역과 살짝안어울림
75,          전 자연스럽게 안느껴지네요   
76, 김행날 전 썸네일 자세히 안보고 영상을 먼저봐버려서 정준하가 더빙 하는지도 몰랐음    이정도면 제 귀엔  자연스럽게 느껴지네요   
77,  헬스치킨  정준하 실력 좋습니다  뮤지컬도 했고 여러 시트콤이나 연기들경험도많죠 근데 이번 저 슈퍼맨강아지랑은 썩 어울려보이지는않아요           빨간망토의진실에서는 김수미나노홍철은 딱그배역에맞는 싱크로였고           업에서의 이순재  마당을나온암탉에서 최민식 더빙 다 배역과 진짜 잘맞아보였는데                      이번정준하캐스팅은 주먹왕 랄프에서는정말 찰떡이였지만 이번 슈퍼펫주인공과는 살짝 어색한감있어보입니다
78,외국에서도 유명배우가 더빙하는 겅우 많습니다     실력만 좋다면 괜찮다고 봐요
79,          원작고증을말하는게아니라    성우가했으면 더 잘했을거란소리임    당장 돼지나오는씬이랑 그다음에 하하가 더빙하는씬보면 하하도 노력 많이한건알겟지만 그래도 실력차이가 나는데    이걸 돈주고 시청하는 소비자들은 더나은걸 볼수잇었는데 선택이 아쉽다는거임        그리고 정준하는 주먹왕랄프에서 엄청좋은싱크로를 보여주었음 굉장히 배역과 잘어울렸는데    이거는 좀 아쉬워보였음 저는
80,   리그 오브 슈퍼 팻 더빙 개봉해주면 재미있겠네
