,comment
0,음 기대작 오랜만에 출연 꽃잎
1,왜 발전이없지 재자리걸음 제발작작하지     
2,이정현은  믿고 보지
3,기대하며 꼭  볼수있도록   
4,   
5,연기력 난리날 것 같다    
6,기대되요 빨리 개봉하기를
7,이정현님 기대됩니다
8,이정현 배우님 연기 기다려집니다
9,대박 느낌
10, 피카피카 신파라 망할듯
11,진짜 이게 대박이 날것같아요  
12,    링크                                                                                                                                   메가박스 링크                                                                                                                                                   롯데시네마     링크                                                                                                                                                                       롯데시네마 모바일  링크                                                                                                                                                            
13,어렵겠다
14,오 재밌겠네
15,티저영상       기존 사운드인지 아님 새로 작업된 건지요 
16,그만좀우려먹자      
17,말하는게 두서 없다    맹하네 눈빛도 졸린가
18,오    이정현 배우 액션 기대댐댐
19,라인업    재밌겠네요 꼭 보겠습니다 
20,리미트   혹시 뭐 돼     되는 듯     여름 다 디졌다 이정현이 씹어먹을 예정             
