,comment
0,안녕하세요  올원입니다                       오늘 댓글에서는 영상과는 관련 없는 개인적인 이야기를 남겨볼까 합니다                       인트로 영상을 보시면 아시겠지만 올원채널은     년 후반부터 시작해  년 반가량을 운영해온 채널입니다                       가끔 댓글을 보면 팀 단위로 운영하는 게 아니겠냐고 추측하시는 것도 본 적이 있는데 지난 기간 동안 홀로 운영해왔고 지금도 홀로 운영해오고 있는 채널이죠                       오늘 이런 이야기를 꺼내고 있는 건 그간 애써 외면해왔던 현실의 벽을 느꼈기 때문입니다                       올원채널은 엔드게임 이후 마블은 물론 모든 영화업계가 침체에 빠졌을 당시 시작했기 때문에                      처음에는 언제 개봉할지 모르는 마블 작품을 기다리며 그 소식을 전하는 방식으로 이어왔고 이후에는 작품에 대한 분석을 위주로 채널을 이어왔습니다                       그렇게 매일   시간가량을 영상 분석과 제작에 몰두하며 열정을 쏟아부었고 이제 와서 뒤돌아봐도 결코 짧은 시간은 아니었다고 생각합니다                       그런데 얼마 전 한 구독자 님께서       영상에 좋아요가 너무 적은 것 아니냐      라는 댓글을 남겨주신 것을 보고 개인적으로는 큰 고민에 빠졌었습니다                       그리고 그 고민으로 시작된 또 다른 고민은 그간 외면해왔던 다른 분들과의 비교로 이어졌고 결과적으로는 최선을 다했다고 생각될 만큼 노력한 것에 비해 현실의 벽은 높구나  언제까지고 이렇게 혼자만의 고집으로 시간을 보낼 수는 없겠다는 결론으로 이어졌습니다                       물론 지금도 심한 날엔 아침에 침대에서 일어나기도 힘들거나 손가락에도 마우스 클릭할 힘이 안 들어가는 날도 있을 정도로 지난 기간 동안 목이나 손목  허리 등 건강이 많이 무너져버린 것도 그 결과에 어느 정도 영향을 미쳤고요                       제 자신도 이런 여러 요건과 상황을 늘 인지하고 있음에도 올해까지만 더 해보자는 마음가짐으로 지금까지 버텨왔는데                      앞으로 언제까지 더 영상을 제작할 수 있을지 모르겠습니다                       원래 구구절절 누구나 가지고 있을법한 사연을 늘어놓는 건 별로 좋아하지 않기 때문에 여태껏 영상과 관련 없는 내용은 언급한 적이 거의 없었지만                      적어도 지난 몇 년간 올원채널을 꾸준히 찾아주신 구독자 님들께는 이러한 심경의 변화를 미리 알려야 할 것 같아 이런 죄송스러운 글을 남기게 되었습니다                       올원채널의 마지막 영상이 언제가 될지는  모르겠지만 그때까지 좋아요 많이 눌러주시고 채널이 더 성공할 수 있도록 많은 응원해 주시면 감사하겠습니다                       올원채널 드림
1,다른 겉할기마블유투버보다 올원님이 최고입니다   모두 구독해주세요 
2,토닥토닥   
3,마블빠로서 마블띵크 삐맨  올원채널 삐맨 욘두의마블 등등 신생채널 부터 두루 보긴하는데   나름 근본있는 올원님이 이렇게 말씀해주시니까 슬프네요  항상 잼있게 잘보고 감사해하고있습니다 우리 같이 힘내요
4,회원제 운영도한번해보새요 후원해주실분들많을거에요 
5,마블 영상 분석이랍시고 올리는 사람들 한 트럭을 갖다놔도 올원님 한 분만 못합니다     분석같지도 않은 분석을 분석 영상이라고 올리는 사람들이 너무 많죠       진짜 분석 영상은 올원님 채널 뿐입니다 
6,캉을 없앨 단하나의방법힌트    노웨이홈 닥터 젠장   피터 너 때문에 모든 피터파커를 아는 놈들이 몰려오고 있어           노웨이홈 엔딩피터 지구의모든 사람들이 저를 잊는다면요           노닥 뭐         노피 지구의 모든사람들이 저라는 존재자체를 잊는다면 대형 사태를 막을수있겠죠          노닥 그래 막을순잇지 하지만 너란 존재는 모두가 모르게될거야 명심해
7,이제 마블 놓아줄때가 된거가틈   
8,건강보다 중요한게 많이 없죠     파이팅입니다 
9,항상 잘 보고 있습니다  부담감을 좀 내려놓으셔도 될 것 같아요  응원합니다 
10,올원님 채널이 얼른 구독자 수 많아져서 영상만드는 즐거움에 하루하루 보내실 수 있기를 바라는  인 입니다 조용히 좋아요를 누르면서 봤던 영상 또 보며 조회수 라도 올리는 것 밖에 해드릴 수 없네요  힘내세요 올원님
11,분석 다 해놓고 다틀림 그때 어벤져스       나오기전 머머카더라들 떡밥어쩌고 영화 유투버들 싹 다 틀림 
12,제가 원하는 답을 내주는 채널입니다 항상 응원해유
13,조회수   만회  알고리즘 탔구나
14,양자는        인데요      와   을 제외하면     개미가 됩니다 양자영역은 개미들의 영역 그자체인 개미굴처럼 은근 복잡한거라 스콧이 들어갈수밖에    멀리갈것도 없이 전작에서 애완개미였던 앤소니         즉 앤트라는 말장난을 이용한 단어가 이번애도 이어졌다할수있죠
15,찐빼이
16,로키에서 스톤들 그렇게 많이 나왔는데 별 쓸데도 없는 취급하던거라 과연 어떤식으로 취급하려나     암튼 지금까지 잘 보았습니다 
17,예고편 어디서보나요   
18,여긴 제발    없길
19,어휴 유치해 언제까지 우려 쳐먹을거냐 마블 하나님 까지 등장시키고 아직도 마블 마블 거리면서 지들끼리 빌런 나열하면 덜 떨어진 저능아 같음
20,이번엔 재밌게 나오려나        
21,캡틴이 스톤 돌려놓으는거 영화 나오면좋겠다 시리즈나   
22,올원님 분석과 함께 마블작품 함께하면서 작품이 더 즐거웠습니다  모든 것을 혼자 하시느라 얼마나 고생 많으셨어요     조금 지치시면 쉬어가셔도 괜찮습니다  다만 꼭 채널은 계속해주세요   원작 코믹스의 몰랐던 내용도 알아가면서 마블작품 즐길 때 더 지식이 풍부했습니다    항상 좋은 영상 감사드립니다  그리고 힘내시길 바라겠습니다   
23,깔끔하고 영상 좋아요 힘내세요 
24,솔직히 올원님 채널이 마블 채널 중에서 제일 좋아요  항상 댓글도 달고 좋아요도 누르고 있습니다  오랜 기간 운영해오신 만큼 그간 스트레스도 많으셨겠지만 저처럼 응원하고 있는 사람들도 많다는 걸 알아주셨으면 좋겠어요   물론 올원님이 어떤 선택을 하시던 여전히 응원할 것입니다  모쪼록 몸도 마음도 건강하시길 바라요    모든 것엔 끝이 있고  올원채널도 그렇겠죠   아쉽지만    그 때가 언제가 되더라도 때까지  그리고 그 이후로도 저는 쭉 올원님을 응원하겠습니다   
25,항상 응원합니다
26,올원님 채널이 많이 알려져 구독자수가 떡상해야하는데 많이 아쉽네요
27,엔트맨 이후 옐로우자켓 투구가 로키에서 잠깐 나왔었죠 다음 엔트맨에 투구가 왜 거기 버려졌는지 나오지 않을까 싶기도하고
28,빌 머레이가 양자영역에서 머레이쇼를 하기 시작하는데  
29,그런데 올원님 진짜 하루도 빠짐없이 열심히 올리시네    
30,앤트맨과 와스프 퀀텀매니아 가설      에서 스콧랭이나 행크핌에게 안좋은 일이 일어날수도 있을것 같고 스콧이 당시에 겪은 일들이 시리즈 전통의 주크박스를 통해 엔드게임 당시일들이 요약으로 나올듯합니다 스콧의 세얼간이 친구는 스냅사건으로 인해  편에서 할려던 사업이 망한상태라 스콧의 매니저 역할로 등장할 가능성이 매우높죠 이터널스에 나온 킨고와 그의 집사같은           스콧이 자신이 알던 지구가 아니란걸 스스로 느끼고 있고 호크아이에 나온 로져스 뮤지컬에 참전한적도 없는 뉴욕 전쟁 어벤져스  편 에 자신이 출연한게 이상한걸 느꼈다면      이번 버전의 캉은 코스믹 큐브같은 오브젝트를 통해 뭔가를 할려한다면 지난 멀티버스 워 로키 시즌   에서 히 후 리메인즈 캉에게 패한후 오랜시간동안 다른멀티버스를 정복하기를 원했던 캉이 토르 를 통해직접 등판한 이터니티에게 가는 포탈을 열어 소원을 빌듯      저도 이번예고편에서 깜짝놀란점은 공개영상을 잘보면 샹치 쿠키에서 텐링의 신호를 보여줄때   입체화를 보여준적이 있는데 영상초반에 똑같은장면이 지나갑니다 그리고 정복자 캉 나올때 원형 바닥문양은 신성한 타임라인 그러니까 수많은 타임라인들이 하나의 브릿지를 이루는 신성한 타임라인과 굉장히 흡사
31,예상대로 색깔할당제 적용해서 흑인 등장
32,장담합니다 앤트맨 친구 중 한명 게이가 되어있을겁니다 
33,숏츠도 제작해주세요 채널이 사라지는 걸 원치 않습니다
34,방법을 찾아야겠지만 올원채널 댓글 추첨하여 매주  분 씩 떡볶이를 지원하고 싶어요  제가 떡볶이를 판매하니 그렇게라도 지원하고 싶습니다 
35,         이 보르미르에서 아직도 나 혼자 살고있는 레드스컬과 묘하게 비슷한데 차후 캉이 재등장할 차기작 빌런여부를 떠나 개미굴과도 같은 양자영역에서 길을잃은자들을 정복자 캉의 도시로 안내하는 역할을 맡고있는듯합니다
36,이제 이 채널을 알게 되었는데     구독도 하고 좋아요도 누르면서 잘 시청할게요
37,멤버십을 개설하는것도 좋은 방법일것 같습니다 이정도 퀄리티의 영상이라면 일정 금액을 지불해도 좋다고 생각해요    올원님 화이팅 하시길 바랍니다 
38,저도 가입할 의향 있습니다
39,만약 대한민국에 마블학 박사님이 있다면 당연 올원님입니다    친절하고 디테일한 설명을 넘어서 때로는 어  내가 지금 뭔 소리를 듣고 있는거지       하게 만드는 다양한 심층 분석에다가 영상 퀄리티까지     마블에서 오피셜로 한 자리 줘야 되지 않을까  하는 생각이 들 정도 라고 생각합니다           다른 구독분들도 여러 의견을 쓰셨지만 본인 몸  건강을 못 챙기면 아무것도 할 수 없습니다    저도  년 반 전쯤에 위암  기 판정받고 수술  항암 끝내고 지금은 회복하며 쉬고 있지만    그냥 살아 있다는 것만으로도 감사한 마음이 드니까요    힘드시면 좀 더 천천히 하셔도 되고 번 아웃이 왔다면 쉬었다가 오셔도 됩니다    부디 아프지 마시고 오래 오래 행복하셨으면 좋겠습니다    항상 응원 하겠습니다   
40,올원님팬 채널에는 찐팬들만 모여서 그런게 아닐까요     올원님은 진짜 마블을 사랑하는게 보이셔서 너무 좋아요 다른 유튜브는 다른영화섞여서 막 리뷰하기도 하고   전 잘보고있는데 마블실망이라는둥   물론 실망은 할 수 있겠지만 잘보고있는입장에서는 그렇더라구요 무튼 그래서 전 타 채널 더 안보는것같아요 응원합니다 
41,누구보다도 올원님이 유명해지길 바라는 구독자중 한명입니다  영상 조회수 좋아요는 알고리즘 노출이 무엇보다도 중요합니다  대형 채널 또는 편집자들은 알고리즘 노출을 위해 엄청난 노력을 하고 있는걸로 알고 있고요  올원님 분석력은 타 채널에 비해 넘사벽이라고 항상 생각하고 있었지만 조회수가 낮다는것에 저도 공감하는 바입니다  그래서 해당 채널이 알고리즘에 노출되었으면 하는 바램이 간절하네요
42,알면 알수록 신기한 마블의 세계
43,  올원님 힘내세요  년간 양질의 영상 아주 잘보고있는데 혼자서 이런영상을 만드시는데 이렇게 많은시간을 투자하시는지 몰랐네요 응원합니다 꼭 잘됐으면 좋겠어요
44,여러분들의 좋아요와 댓글이 알고리즘에 도움을 주니 앞으로 선좋후감을 조금씩 실천하는 시청자가 되도록 노력해보아요   
45,구독이랑 좋아요 눌러라아    
46,저도 간간이 영상은 보면서 구독은 잊고 있었네요  평소에도 엄청난 정보력과 분석들을 보면서 영상에 엄청난 공을 들이시는 분 이라고 생각했습니다  그래서 영상도 채널이름을 보며 믿고 클릭했구요  이번 고민을 우연히 접하게 되었는데  구독도 안하고 좋아요도 안하고 이제껏 댓글 한번 단 적없는 저를 돌아보게 되었네요  절대 그만두지 말아주십시요  계속 양질의 영상을 만들어 주세요  이제껏 멀리서 봐왔지만 정말 응원하고 싶습니다  그 노력과 진심들이 보였으니까요  마블 팬인 저에게 항상 소중한 채널이었습니다  올원님의 영상은 항상 진실됩니다  힘내세요 올원님 
47,나 원래 댓안다는데 형꺼에 달아야겠네 댓글 이라도 늘려야 티클도 인기가 점점 있을거같아 진짜 올원 형꺼 보면서 미래를 내다봐도 다맞추는거라 너무 좋아했는데 제대로 더 좋아하고 좋아요 눌러야겠어     형 아프지말고 늦어도 몸 쌩쌩 할때 돌아와도 되니까 계속 기다리고 있을거야 제발 아프지말고 진짜 힘네  아자아자 화이팅      올원진짜원      
48,힘내세용  마블자체가 지금 하향세라 그런것도 있는듯합니다   조금 더 판을 키우셔서 마블이외의 리뷰나 분석영상같은건 어떠신지용 
49,안녕하세요 저는 이준우입니다  항상 채널 잘 보고 있고 마블 영화 볼 때마다 너무 많이 도움되고 있습니다  올원 님의 채널을 좋아하는 만큼 어떤 결정을 하시더라도 끝까지 챙겨볼게요  항상 좋은 영상 만들어주셔서 진심으로 고맙습니다  
50,저기요
51,소리소문 없이 사라지시면 진짜 울겁니다 저  
52,개인적인 생각 워너비 로는 머독은 안나왔으면 좋겠고 캉에 대해서 멀티버스랑 연계해서 보여줬으면 좋겠음       지금 뉴페이스빌런 캉하고 직접적으로 연계된 옴니버스가 앤트맨 제외하면 로키밖에 없고 간접적으로는 닥스밖에 없어서 나중에 뜬금 어거지로 모든 캐릭터들을 한페이즈안에 우겨넣을 가능성이 매우 높음      지금 마블디플이 하는 꼬라지보면 충분함     그 근거가 추후 나올 판타스틱 와 닥터둠인데 고작  시리즈만으로 연계하기엔 너무 어거지 분량밖에 안됨     로키 를 감안하면 적어도  에 이와 연계되는 다른 캐릭터들이 적어도  명 이상은 나와줘야 어벤저스가 이해되는 그림이 나옴 
53,오 보셧구나
54,페이즈         
55,개인적으로 마블에서 앤트맨이 제일 재미없음
56,마블 드라마 챙겨보는 것도 지치는데  올원님 리뷰는 가뭄에 단비인 것 같아요 심적으로 힘드시겠지만 조금 더 볼 수 있었으면 좋겠네요 화이팅입니다  
57,근데 모독은 캡아 윈터솔저에 나온 인공지능이 원작에서도 모독인데 그건아닐꺼같은디 
58,목소리가 너무 졸려서  분이상 못듣겠어요    죄송
59,아 유튜브 뭐하냐 알고리즘 좀 띄워라    이분은 돈 더 벌어야해 
