Review,Rank
최고의 로맨스 영화 편견이 없고 다정한 사람들로 행복을 가득 채워준다 ,10
쿠로사와가 속마음 얘기하던 장면이 기억에 많이 남아요... 쿠로사와의 약한 모습이 아다치 뿐 아니라 저한테도 너무 의외였나 봐요. OST도 가사나 멜로디가 좋았고 사실 일본감성이 찐하긴 해서 중간중간 나도모르게 쫌 ...,10
아다치같은 연인이 있는 쿠로사와가 진정 복받았다 부럽다 후 아다치한테 어떻게 안반해ㅜㅜ 한층 더 예쁘고 잘생겨진 아카소 얼굴감상도 즐거웠다 ,10
이걸 그 큰 화면으로 보니 많이 좋네요. 완전 재밌어요 ㅜㅜㅜㅜ ,10
쿠로사와랑 아다치는 사랑  체리마호 시즌2 절대 해ㅠㅠ ,10
따뜻하고 재미있습니다.... 다정한 사람들로 가득해서 좋아요 또 보고 싶을정도네요 ,10
큰화면으로 쿠로닷치를볼 수 있다는 것만으로도 너무 행복했음 ,10
마음이 따뜻해지는 영화였습니다. ,10
"드라마의 속편으로 드라마의 관계성과 세계관 그리고 따뜻함을 모르고보면 이해하기 힘들고, 지루할 수 있는 속편입니다만 드라마를 보고 영화를 1번 2번 보다보면 감독이 숨겨놓은 여러가지 디테일들이 계속해서 보이고 그 관...",10
진짜... 쿠로사와 주접이 한층 강해지고 아디치는 여전히 사랑스럽고 넘 좋아요~ ost도 좋아요~ 편견없이 보면 정말 여운있고 재미있는 영화가 되실꺼예요~ ,10
보고 광대가 승천하는줄 알았어요 ,10
,10
사..사랑을 해라 쿠로닷치! 드라마 즌2 기다릴께요 감독님TT ,10
드라마를 먼저 봤다면 감동의 눈물을 흘릴수밖에 없는 영화. 드라마 내용을 몰라도 잘생긴 남자들이 스크린을 꽉 채운다는 점에서 이미 별다섯개... ,10
분명 영화라서 현실과 다른 부분이 있을 수 있으나 그렇기에 더욱 좋았던 스토리 현실 반영 했으나 따뜻하게 녹아내릴 수 있는 영화 ,10
드라마를 너무 재미있게 봐서 영화도 봤는데 기대 이상이었어요♥? ,10
대사처럼 행복한 사람이 많아지면 그걸로 좋은 것! 가족관계 등 현실적인 얘기가 너무 판타지스럽지만 그런 세계도 있길 바라며... ,8
,10
,10
따뜻한 사랑 영화여운이 깊게 남아요 ,10
,10
,10
너무너무감동적이라보다가율엇어요 ,10
드라마의 후속편이라 그래서 걱정했는데 앞 부분 다이제스트로 어느정도 이해가 가능해서 관람에 무리는 없었다. LGBT에 대해 다정하고 따스한 시선으로 그려진 영화. 두 사람이 거친 파도를 넘어 쭈욱 행복하게 살았으면 ...,10
,10
보고나면 마음이 따뜻해지는 영화. 드라마도 그랬지만 볼수록 더 빠져들 수 밖에 없는 느낌이 있다. 아마도 캐릭터와 스스로를 일체화하며 섬세한 연기를 펼쳐준 배우들의 노력과 누구에게도 불편하지 않은 이야기를 만들려한 ...,10
드라마 팬들에게 이보다 더 좋은 선물은 없을것 같아요 앞으로도 계속 함께 현실을 살아가야 할 아다치 쿠로사와가 행복해지길 바랍니다 ,10
,10
너무 재미 있게 잘 봤어요!!!! ,10
볼수록 새롭고 연출력과 연기력에 감동받고 갑니다.... 시즌2로 돌아오실거라 믿어요 ,10
가볍지않은 주제를 배우들의 연기와 연출로 사랑스럽게 표현되었음 ,10
따뜻한 영화입니다꼭 보세요~ ,10
잔잔하고 기대안했는데 볼만합니다. ,8
,10
정말 감동적인 영화입니다... ,10
귀엽고 따뜻한 사람들의 이야기. 몽글몽글한 마음으로 가득해져서 입꼬리에 마사지가 필요합니다. ,10
체리마호 드라마 시즌2 꼭 해주세요 ㅠㅇㅜ ~~~ 둘의 동거일기 더 보고싶어요 ,9
,10
체리마호 드라마 안 본 사람은 있어도 한번만 본 사람은 없다. 드라마 봤으면 영화도 꼭 보게 된다. BL 편견은 잠시 접어두고 사람 대 사람으로 보면 감동임. ,10
여러 번 봐도 질리지 않고 마음 따뜻하게 잘 봤어요 ,10
오랜만에 마음 속 깊이 따뜻함을 느낄 수 있던 영화였습니다. ,10
"모두가 행복한 결말을 맞이할 수 있다는 점에서 판타지라는 느낌은 강하지만, 그만큼 가슴 따뜻해지는 영화 ",9
드라마를 안 봐도 영화만으로도 마음이 몽글해지고 따뜻해져요^^ ,8
"재미있는 이야기는 조금이고 진지한 이야기가 대부분이었는데, 뭔가 기대했던 내용과 달랐다. 그래도 팬이라면 즐겁게 볼 것 같다. 팬이 아니면 졸릴 것 같다. ",6
"인생 한 번인데, 타인의 눈치보며 살아가지말자. 다만 자기 인생엔 책임을 질 수 있도록 진심을 다해 살아가자라는 신념을 갖게된 영화임. 너무 아름답고 순수해지는 느낌이었음. ",8
OOO 동성애 영화. OO들만 보는영화 ,2
진짜 행복한 영화입니다 ,10
감동… 아쉬운 점이 있다면… 둘의 키갈씬뿐… 시즌 2 기대하겠읍니다…^^ ,10
잔잔한 로맨스 영화였고 주연 배우들 미모가 열일해주었어요!!시즌 2도 나왔으면 좋겠어요.근데 너무 씬이 다 짤린듯한 기분.. 조금 아쉽네여ㅠ ,10
그래 연애할때는 대화를 해라 ,5
처음엔 가벼운 마음으로 재밌겠거니 보러 갔는데 생각보다 묵직한 메시지가 있어서 좋았어요! 성별을 떠나 상대방을 존중하고 사랑하는 방법을 배운 것 같습니다! ,9
마음이 따뜻해지는 힐링 영화! ,10
엄마랑 드라마 이틀만에 다보고 다음날 영화까지ㅋㅋ ,10
전문가 평점 노 굿 ,9
둘의 꽁냥꽁냥은 보기 좋으나 드라마에서의 감동은 기대하지 않는게 좋음. ,6
순수한 동화같은 러브스토리♡ 아다치 쿠로사와 영사해 흑흑 ,10
드라마를 보고 영화를 본다면 더없이 좋은 영화 팬심채워주는 여러장면들 동화같은 연출은 체리마호 팬들을 설레게 만든다 하지만 드라마를 보지 않았다면 무슨내용인지 이해를 못하는 최악의 영화가 될수도 있다 제발 일드 체리...,10
쿠로사와와 아다치를 큰 스크린에서 볼수있어서 행복했습니다.. 영화보는내내 입꼬리 올라가서 혼났네요 ,10
오랫동안 기다렸던 영화인데 기대를 층족시켜주네요. 착한 사람들의 착한 사랑이야기가 심금을 울립니다. ,10
