Review,Rank
탑건 아이맥스 돌려주세요 ,1
스토리 전개가 그냥 이상하고 다 끊기는 느낌 이거 재밌다는 사람들 부럽다 온세상이 재밌을 듯 토르3 때문에 믿었는데 올해 최고의 믿는 도끼였다 ,1
이 영화는 이제껏 보여줬고 보여줘야했던 토르의 인생이 얼마나 굴곡지고 외롭고 가슴 아픈지를 아주 가벼운 연출로 보여주면서 그 슬픔을 희석 시켜줍니다. 만약 이 내용을 아주 진지하게 그려냈다면 보다가 중간에 포기했을 ...,10
분명 라그나로크에 비하면 빈약하고 아쉬운 4편이지만 기대를 낮추고 가벼운 맘으로 봐서인지 나름 재밌게 봄. 가오갤과의 협업도 기대했는데 짧은 등장은 쫌 아쉽긴함. 대신 마이티토르는 멋졌음 ,8
베일 미쳤다... 배우 하나로 영화 퀄이 달라지네 ,10
마블은 이제 영화관에서 못보겠네 피씨도 개짜증나고 탑건이나 한번 더 볼껄 ㅋㅋ ,2
굳이 극장가서 안 봐도 되는 디즈니 플러스 수준의 퀄리티 ,5
"코믹포인트는 있음하지만, 고의적인 게이 레즈 그놈의 미국 pc똥 때문에 영화가 맛이 갔음 ",4
역시 크리스찬 베일의 연기는 실망시키지 않는다 ,10
좀 어중간합니다. 그리고 빌어먹을 PC가 영화 다망치고 있습니다. ,6
기대가 너무 컸나... 흡입력이 떨어지고 중구난방인 느낌 ,4
4DX 탑건 돌려줘요 ,5
마블은 이제 놓아주렵니다... ,1
보다기 졸린건 오랜만이네... ,2
유치뽕짝.. 닥스2에서 받은 실망감 토르 러브앤썬더에서도 받았내요 ,4
가오갤 캐릭터를 너무 빠르게 1회성으로  소비해 버리고 PC로 범벅인부분이 눈에 자주 띄어도 닥스2보다는 나았다고 여기다가 마지막까지 너무 대놓고 드러내고 강요하는 동성애 코드에 디즈니와 마블에 대해 역겨움이 느껴질...,1
마블이 무너지는구나.. ,2
쓸데없이 고퀄인 애들용 만화 ..  본 것 같음 마블의 시대가 저물어 가겠구나 ,6
믿어왔던 토르마저 배신때리네. 오늘부로 마블과는 작별을 고한다. ,4
난 뭐야.. 밖에 할 말이 없는데 10자나 적으라니.. ,2
0점이 없다는게 한스러울뿐 ,1
내가 토르를 본 건지 샤잠을 본 건지 ,1
너무 재밌어요 여러분 영화관 가면 꼭 보시길 바랍니다 제발요 돈 내고 보세요 ,1
이제는 숙제같은 기분으로 챙겨보는 마블... ,6
마블은 아이언맨과 함께 죽었다 ,1
크리스찬 베일 없었으면 걍 씹망작임 ,6
평가가 안좋아서 기대 안하고 봤는데 딱 그정도였음 고르도 개드립 칠까봐 걱정했음 스케일이 더 커졌으면 좋았을듯 ,2
이게 전작이랑 같은 감독꺼라고?크리스찬 베일만 눈에 들어올뿐 나머지는 없으니만 못하다 ,1
지금 방금 봤는데   탑건2 보다   솔직히  재미가  없다    끝... ,6
염소가 제일 웃김.. 허허 참나… 히어로 세대교체때문에 그런가 너무 유치했음.. 유머자체도 예상가는 뻔한 느낌.. ,2
스토리가 산만하고 산으로가는데 하필 4dx로 관람해서 더 집중을 못함.  빨리 끝나길 기다리면서 봄 ,4
드럽게 재미없다 반성해라 ,1
"마블, 명가의 몰락...유치해... ",6
어떻게 라그나로크랑 같은 감독이냐고 ,5
토린이 ㅇㅈㄹ.... ,6
